article_name,nb_in_unfinished_paths,nb_in_finished_paths,nb_links,views
Retina,31,72,35,31901.504854368934
Retinol,4,16,20,27888.33009708738
Retreat of glaciers since 1850,18,31,63,7128.650485436893
Revised Standard Version,0,0,5,5988.174757281553
Revolution,17,51,552,30396.825242718445
Reza Shah,1,13,16,30528.11650485437
Rhenium,3,18,43,15793.300970873786
Rhine,21,54,96,52275.553398058255
Rhode Island,21,45,43,119057.04854368932
Rhodium,6,60,55,30164.52427184466
Rhodium(III) chloride,3,3,8,884.495145631068
Rhubarb,2,12,17,57410.2427184466
Rhythm and blues,33,74,42,60629.2427184466
Rice,51,146,265,105641.89320388349
Richard Feynman,15,55,58,116550.83495145632
Richard Francis Burton,8,15,47,17703.728155339806
Richard III (play),3,7,27,25472.126213592233
Richard III of England,10,60,42,133592.36893203884
Richard II of England,8,47,34,63873.40776699029
Richard I of England,9,55,44,115726.25242718446
Richard Nixon,24,56,104,375483.6019417476
Richard O'Connor,2,0,36,2878.4757281553398
Richard Stallman,18,55,37,38491.74757281553
Richard Wagner,17,31,77,85477.19417475729
"Richmond, Virginia",3,15,68,59356.83495145631
Riesling,3,13,13,17495.40776699029
Right whale,3,5,34,13254.68932038835
Ringed Plover,7,15,14,57.81372549019608
Rio Tinto Group,3,9,21,12999.786407766991
Rio de Janeiro,12,52,73,113815.08737864078
River,84,318,904,48417.844660194176
River Severn,14,35,32,16228.038834951456
River Thames,30,70,69,57513.48543689321
Riyadh,3,14,14,69872.26213592233
Roald Amundsen,7,23,15,34878.087378640776
Roan Antelope,0,2,8,241.54368932038835
"Robert Baden-Powell, 1st Baron Baden-Powell",4,9,26,32930.21359223301
Robert Boyle,13,35,47,21066.233009708736
"Robert Gascoyne-Cecil, 3rd Marquess of Salisbury",4,3,30,15129.57281553398
Robert Oppenheimer,3,16,53,12431.242718446601
Robert Owen,4,11,22,17058.44660194175
Robert Peel,2,13,48,34463.51456310679
Robert Schumann,4,15,31,35264.844660194176
Robert Stephenson,6,4,17,5980.291262135922
Robinson Crusoe,5,21,29,63391.601941747576
Roche limit,2,9,16,11280.300970873786
Rock Bunting,0,1,12,37.36893203883495
Rock Pigeon,20,19,35,528.3980582524272
Rock of Gibraltar,4,43,11,26281.18446601942
Rockall,6,11,34,16416.320388349515
Rocky Mountains,63,127,80,74099.40776699029
Rococo,5,14,42,49665.46601941747
Roentgenium,2,35,20,10349.087378640777
Roman Britain,26,89,77,41662.81553398058
Roman Catholic Church,187,443,303,29322.300970873788
Roman Empire,254,602,504,296445.8640776699
Roman Greece,3,18,26,6546.242718446602
Roman Vishniac,0,0,55,1215.9126213592233
Roman law,8,31,26,19070.660194174758
Roman mythology,102,239,37,24509.087378640776
Roman road,9,27,35,3017.4563106796118
Roman villa,10,40,13,6765.0
Romania,24,100,209,264930.92233009706
Romanticism,44,92,116,121124.38834951456
Rome,188,394,575,183232.3009708738
Romeo and Juliet,16,55,20,147490.8058252427
Romulus Augustus,12,33,15,3059.4660194174758
Ronald Reagan,38,111,158,510322.03883495147
Rondane National Park,0,0,21,816.0873786407767
Rook (bird),7,4,23,17297.21359223301
Rosa Parks,4,16,23,190392.15533980582
Rose-ringed Parakeet,3,13,28,607.6796116504854
Rosemary,9,7,26,47852.93203883495
Rosetta Stone,5,35,13,101464.36893203884
Rotterdam,3,32,69,51633.05825242718
Rowan Williams,7,16,25,13819.291262135923
Royal Air Force,22,58,73,81852.08737864078
Royal Dutch Shell,3,11,31,59158.53398058253
Royal Geographical Society,2,14,17,6649.407766990291
Royal Grammar School Worcester,0,0,16,1462.388349514563
Royal Marines,10,30,53,45438.76699029126
Royal National Theatre,1,13,18,11785.31067961165
Royal Navy,37,111,161,98696.26213592233
Royal Parks of London,9,18,10,2886.0776699029125
Rubidium,3,39,44,20137.135922330097
Rubik's Cube,9,16,19,74252.64077669903
Rudolf Vrba,0,0,28,8503.26213592233
Rudyard Kipling,15,16,67,102216.74757281554
Rugby World Cup,6,33,30,95085.85436893204
Rugby football,31,79,27,39507.18446601942
Rule of St Benedict,2,7,11,878.757281553398
Rupee,3,21,17,20747.058252427185
Russia,283,973,1100,654393.7961165048
Russian Revolution of 1917,25,55,64,5780.78640776699
Russian constitutional crisis of 1993,7,23,12,1217.514563106796
Russian language,57,178,193,113465.81553398058
Ruthenium,3,28,37,20051.165048543688
Rutherford B. Hayes,1,26,21,61966.6213592233
Rutherfordium,1,21,26,9596.52427184466
Rwanda,13,74,251,127387.47572815535
Rwandan Genocide,6,32,60,21778.81553398058
São Paulo,4,14,105,86929.55339805825
São Tomé,1,5,72,10559.611650485436
São Tomé and Príncipe,6,5,63,44890.8932038835
Søren Kierkegaard,5,6,40,63083.65048543689
S-mine,0,0,14,8278.679611650485
S. A. Andrée's Arctic balloon expedition of 1897,0,0,22,396.873786407767
SD26,0,9,5,221.55339805825244
SR-71 Blackbird,4,10,23,8007.1067961165045
Safflower,3,13,16,20098.09708737864
Saffron,8,37,82,92370.92233009709
Sahara,30,67,290,82402.7281553398
Saint-Pierre and Miquelon,2,7,36,1655.5339805825242
Saint Helena,5,21,59,84044.33009708738
Saint Joan (play),2,3,6,6281.980582524272
Saint Kitts and Nevis,2,5,38,86094.19417475729
Saint Lawrence Seaway,6,16,16,11757.708737864077
Saint Lucia,7,18,63,102050.8640776699
Saint Petersburg,19,62,163,151947.52427184465
Saint Vincent and the Grenadines,7,4,47,48825.40776699029
Sakurajima,3,14,9,7626.52427184466
Saladin,3,20,35,108936.09708737864
Salford,2,8,16,10503.73786407767
Salsa music,66,41,36,14899.786407766991
Salt,44,154,210,70497.50485436893
"Salt Lake City, Utah",23,23,60,6926.563106796117
Saltasaurus,5,14,21,2437.9514563106795
Salvador Dalí,7,12,38,141572.36893203884
Samantha Smith,0,0,21,21478.78640776699
Samarium,2,16,28,11510.747572815533
Samoa,6,17,93,107701.68932038835
Samuel Beckett,6,24,45,52430.18446601942
Samuel Taylor Coleridge,9,20,43,37027.30097087379
San Diegan,5,5,15,84.06796116504854
San Diego Electric Railway,2,3,10,615.3203883495146
San Diego and Arizona Railway,3,0,10,957.0679611650486
"San Francisco, California",28,46,68,36990.1359223301
San Francisco garter snake,0,0,9,2537.6116504854367
"San Jose, California",15,35,70,83948.68932038835
San Marino,12,19,134,124635.76699029126
Sand,28,80,146,35241.1359223301
Sand art and play,3,22,19,2660.864077669903
Sand shark,0,6,5,5973.058252427184
Sandringham House,1,5,11,45393.76699029126
Sandur,0,6,6,310.2621359223301
Sandy Koufax,7,13,16,47601.22330097087
Sanskrit,24,80,132,122697.80582524271
Sanssouci,3,6,27,11102.601941747573
Santa Claus,15,36,53,160018.05825242717
Santamaría (volcano),0,2,11,79.28155339805825
"Santiago, Chile",6,9,34,7516.601941747573
Santorini,6,13,38,83746.38834951456
Sarajevo,6,28,69,57011.436893203885
Sardar Vallabhbhai Patel,3,26,29,3904.145631067961
Sasha (DJ),0,0,11,5405.805825242718
Sassanid Empire,13,15,57,8305.009708737864
Saturn,13,72,98,134378.47572815535
Saturn V,22,87,37,67384.18446601942
Saudi Arabia,28,139,270,356711.11650485435
Saurischia,12,34,53,7912.57281553398
Sauropodomorpha,9,23,41,4720.1067961165045
Sauroposeidon,4,10,30,4406.52427184466
Sauropsid,0,0,16,1071.0679611650485
Saxicola,0,0,4,530.2330097087379
Saxophone,10,35,33,46787.59223300971
Scandium,0,21,46,20165.88349514563
Scanian (linguistics),0,0,9,34.58252427184466
Scattered disc,6,21,9,6596.300970873786
Scelidosaurus,3,13,14,1918.5339805825242
Scent of a Woman,9,25,4,1197.2135922330096
Schatzki ring,0,0,0,9193.922330097088
Scheme programming language,5,19,4,336.86407766990294
Schizophrenia,17,45,60,223149.8640776699
Schrödinger equation,14,14,23,65956.20388349515
Schuttern Gospels,0,0,4,93.75728155339806
Science,395,1432,175,178684.12621359224
Scientific classification,131,274,544,1901.7378640776699
Scooby-Doo,16,32,15,139514.9223300971
"Scotch College, Perth",0,0,23,1017.2038834951456
Scotland,289,747,683,320425.6990291262
Scotland in the High Middle Ages,2,21,57,2757.757281553398
Scots language,9,37,59,50974.77669902913
Scott Special,0,0,9,314.50485436893206
Scottish Episcopal Church,5,22,23,5582.281553398058
Scottish Gaelic language,13,35,46,11348.495145631068
Scottish Highlands,12,39,38,41011.16504854369
Scottish mythology,7,24,10,8794.543689320388
Scouting,13,16,72,25972.33009708738
Scramble for Africa,4,30,154,55893.25242718447
Screw,15,33,24,28187.70873786408
Scrooge McDuck,14,17,27,27155.776699029127
Sculpture,14,69,83,39973.93203883495
Scurvy,25,80,37,63299.446601941745
Sea,62,276,1491,42940.33980582524
Sea level rise,12,31,36,28095.805825242718
Sea of Galilee,7,26,34,35190.82524271845
Seaborgium,1,19,20,9604.417475728156
Sean Connery,17,26,31,377668.1650485437
Sears Catalog Home,0,0,13,12862.912621359223
Season,26,93,57,61079.40776699029
"Seattle, Washington",20,78,90,24960.88349514563
Seawater,32,134,40,26540.660194174758
Second Boer War,7,39,63,85293.32038834952
Second Congo War,9,17,66,30970.077669902912
Second Crusade,6,23,35,20529.485436893203
Seed,105,560,101,37881.33980582524
Seinfeld,12,10,17,173671.61165048543
Selena,2,9,11,299371.1941747573
Selenium,9,32,54,48054.29126213592
Semiconductor,21,118,82,67683.60194174758
Semiconductor device,14,47,25,15347.194174757282
Senate of Canada,3,10,15,21911.912621359224
Senegal,10,40,105,129059.66019417475
Senufo languages,3,1,14,675.2330097087379
Seoul,5,34,90,138984.14563106795
Separation of powers under the United States Constitution,3,7,26,13783.291262135923
"September 11, 2001 attacks",53,151,120,7884.339805825242
Sequence alignment,2,15,15,13372.184466019418
Sequoia,8,38,25,4751.135922330097
Serbia,15,73,231,244228.31067961166
Serbia and Montenegro,7,24,17,40358.398058252424
Serenity (film),5,7,29,14292.038834951456
Sermon on the Mount,6,23,19,38425.25242718447
Sesame,10,19,63,44350.35922330097
Sesame Street,11,22,31,81605.5145631068
Set,12,41,23,8874.660194174758
Severn crossing,4,7,5,1105.368932038835
Seychelles,9,27,99,158091.03883495147
Sgt. Pepper's Lonely Hearts Club Band,6,14,32,102447.84466019417
Shabo language,0,0,2,730.2330097087379
Shackleton (crater),2,5,13,2475.0485436893205
Shaka,4,20,5,53461.71844660194
Shanghai,10,48,134,133782.44660194175
Shark,90,403,74,93595.61165048544
Sharon Tate,0,3,19,304712.4466019418
Sheffield,8,21,59,56780.45631067961
Sheikh Mujibur Rahman,0,7,22,47651.26213592233
Shelduck,7,9,11,1656.5922330097087
Shenzhou 6,6,23,37,845.5533980582525
Shenzhou spacecraft,2,15,7,1234.3980582524273
Shetland,8,33,37,64844.05825242718
Shielded metal arc welding,3,19,23,18084.78640776699
Shigin,0,6,4,773.7766990291262
Shining Path,2,14,23,24025.087378640776
Shinto,8,27,37,97776.42718446603
Ship,36,83,53,37665.77669902913
Shoe polish,4,14,25,6975.78640776699
Short-beaked Echidna,5,8,13,172.67961165048544
Shoshone National Forest,3,6,42,3193.5533980582522
Shrimp farm,0,0,50,717.3883495145631
Shrine of Remembrance,2,8,24,4475.359223300971
Shroud of Turin,7,26,27,65280.73786407767
Sichuan Pepper,3,14,25,114.86407766990291
Sicilian Baroque,0,0,29,2112.5728155339807
Sickle-cell disease,9,32,19,41365.2427184466
Siege,23,45,107,15041.844660194174
Siege of Antioch,1,8,17,6171.300970873786
Sierra Leone,8,44,106,100101.08737864078
Sigmund Freud,19,79,68,215254.8058252427
Sikhism,7,33,54,132053.4563106796
Sikkim,8,25,68,103473.19417475729
Silent film,26,60,18,28036.980582524273
Silicon,32,101,102,77740.54368932039
Silurian,5,9,35,20366.796116504855
Silver,19,80,161,82283.39805825242
Simón Bolívar,1,7,37,80378.81553398058
SimCity,10,24,37,26455.349514563106
Simca Vedette,0,0,8,1596.0970873786407
Sinclair Research Ltd,1,6,22,526.7087378640776
Singapore,16,43,239,546334.8640776699
Sino-German cooperation (1911-1941),0,0,25,183.88349514563106
Sino-Roman relations,0,1,28,13904.174757281553
Sirius,6,23,26,71773.56310679612
Sistine Chapel ceiling,13,18,21,52312.669902912625
Sitting Bull,6,17,11,57213.46601941747
Six-party talks concerning North Korea's nuclear program,0,1,11,17.097087378640776
Skåneland,0,1,9,2382.893203883495
Ska,11,22,35,46781.46601941747
Skiing,19,61,45,28847.223300970873
Skylark,5,13,19,1845.9708737864078
Slavery,67,195,220,84760.96116504855
Slavic mythology,7,13,12,12991.009708737864
Sleep,47,66,20,76026.23300970874
Slovakia,14,46,120,153381.79611650485
Slovenia,14,41,216,175294.68932038834
Smallpox,27,52,84,154738.7572815534
Smog,15,82,39,28129.631067961163
Snaefell Mountain Railway,0,0,3,1026.9223300970873
Snake charming,0,0,19,10976.883495145632
Snow,42,135,166,35096.49514563107
Snow Goose,4,24,16,529.8155339805825
Snowball Earth,10,30,31,18208.563106796115
Snowdonia,7,26,15,17010.26213592233
Snowdonia National Park,0,8,7,1071.5339805825242
Snowy Owl,4,26,20,3841.7087378640776
Social anxiety,2,7,8,15765.14563106796
Social capital,6,6,13,24406.02912621359
Social contract (Malaysia),4,7,10,1185.495145631068
Socialism,51,122,140,175084.39805825244
Society,166,237,156,57154.71844660194
Society of Merchant Venturers,3,12,18,1519.388349514563
Sociocultural evolution,10,8,68,9049.95145631068
Sociology,52,93,78,94973.69902912622
Socrates,28,87,37,166443.427184466
Soddo language,5,13,5,698.3980582524272
Sodium,24,139,171,83455.97087378641
Sodium hydroxide,11,32,52,93232.5145631068
Sodium sulfate,4,10,17,25579.11650485437
Soil,113,233,191,59779.58252427184
Soil moisture,3,22,9,1634.0
Soil pH,5,10,23,13611.815533980582
Soil profile,4,14,2,471.11650485436894
Soil salination,13,10,12,743.242718446602
Soil science,25,59,19,8001.184466019417
Soil structure,23,17,3,3590.631067961165
Soils retrogression and degradation,13,10,15,204.36893203883494
Solar System,186,845,157,377034.3786407767
Solar eclipse,14,88,46,92974.15533980583
Solomon Islands,14,32,62,72769.76699029126
Somalia,22,61,239,148929.79611650485
Song Thrush,3,8,11,373.1456310679612
Sonic the Hedgehog (character),8,43,27,39417.679611650485
Sony,86,193,39,120634.04854368932
Sorghum,6,15,48,58988.34951456311
Sorrel,4,8,51,21189.0
Soukous,3,11,24,3867.8155339805826
Sound,141,219,40,60331.46601941747
Soup,13,44,76,25050.174757281555
South Africa,168,603,599,402585.5145631068
South America,206,823,368,148697.17475728155
South China Sea,16,59,42,47800.66019417476
South Georgia and the South Sandwich Islands,4,14,33,47692.45631067961
South Korea,12,89,173,329392.68932038837
South Ossetia,8,11,25,45570.81553398058
Southampton,4,23,69,52715.76699029126
Southern Africa,45,111,92,22213.563106796115
Southern Ocean,22,61,38,38710.436893203885
Southern Pacific 4449,0,0,7,4169.038834951456
Southern Rockhopper Penguin,0,0,15,92.0
Southern United States,60,112,102,78769.33980582525
Soviet Union,186,551,490,452764.8058252427
Soybean,200,255,62,69595.59223300971
Space Invaders,5,42,12,30067.3786407767
Space Race,22,93,54,42151.145631067964
Space Shuttle Challenger,16,58,37,42638.12621359223
Space Shuttle Challenger disaster,21,57,24,171776.9514563107
Space Shuttle Columbia,19,129,59,45558.41747572816
Space Shuttle Columbia disaster,15,53,25,107080.63106796116
Space Shuttle Endeavour,6,38,22,19420.35922330097
Space Shuttle program,25,83,23,21392.436893203885
Space exploration,31,126,46,32980.669902912625
Space station,25,76,23,21299.242718446603
Space suit,7,20,11,17989.59223300971
Spacecraft propulsion,5,37,10,13331.961165048544
Spain,203,509,779,367416.8640776699
Spanish Armada,17,41,50,50534.1359223301
Spanish Inquisition,18,47,54,73210.06796116506
Spanish conquest of the Inca Empire,7,27,23,13652.40776699029
Spanish language,96,264,279,148860.68932038834
Sparrow,8,53,87,22036.601941747573
Sparrowhawk,6,13,14,4503.805825242718
Speaker of the British House of Commons,8,23,26,1304.735294117647
Speaker of the United States House of Representatives,9,10,22,102098.14563106796
Special relativity,10,52,46,53495.82524271845
Speech synthesis,13,33,15,20137.0
Speed of light,40,134,81,117564.11650485436
Sperm Whale,13,68,26,2055.2815533980583
Sphere,29,47,43,41523.57281553398
Spherical aberration,6,24,7,8700.932038834952
Spider,19,75,48,116880.53398058252
Spinosaurus,5,12,26,51979.17475728155
Spirit of the American Doughboy,0,0,3,889.6990291262136
Spix's Macaw,0,0,7,629.7941176470588
Split infinitive,5,7,12,11813.912621359223
Sponsorship Directdebit,0,0,2,
Sport,201,156,78,90400.4854368932
Spotted Flycatcher,0,0,11,153.0873786407767
Spring (season),14,23,58,78974.39805825242
Spring Heeled Jack,26,36,20,2911.5631067961167
Sputnik 1,13,118,29,58666.09708737864
Sputnik 2,9,42,15,9309.52427184466
Sputnik program,8,39,15,913.9029126213592
Spyware,14,41,24,28030.70873786408
Squash (sport),5,7,18,42688.0
Sri Lanka,21,77,196,323024.47572815535
Sri Lankan Civil War,4,15,20,43741.48543689321
St Buryan,0,0,13,1595.495145631068
St Michael's Mount,0,0,13,18661.456310679612
St Paul's Cathedral,9,20,48,53444.28155339806
Stag beetle,2,21,15,12490.417475728156
Stage (theatre),38,41,15,7320.165048543689
Stained glass,8,31,30,23152.864077669903
Stanisław Koniecpolski,1,1,18,887.5242718446602
Stanisław Lem,0,0,19,15444.04854368932
"Stanley, Falkland Islands",3,7,14,13080.116504854368
Stanley Baldwin,3,14,23,28117.81553398058
Star,80,259,488,102445.08737864078
StarCraft,3,7,7,27497.78640776699
Star Fox  Assault,0,0,8,
Star Trek,51,128,71,201772.35922330097
Star Trek  Deep Space Nine,15,34,21,
Star Trek  The Original Series,8,23,10,
Star Wars,49,159,112,653608.6796116505
Star Wars Episode IV  A New Hope,37,120,34,
Star anise,6,8,22,4588.0679611650485
Stargate SG-1,9,26,61,56133.601941747576
Starling,7,10,15,22691.776699029127
Starship Troopers,4,3,27,37254.087378640776
Statistics,26,74,68,93435.54368932039
Statue of Zeus at Olympia,3,29,10,51018.99029126213
Steam engine,47,137,46,58949.71844660194
Steel,65,202,169,91814.32038834952
Stefan Edberg,2,15,37,20183.242718446603
Stegosaurus,14,46,39,38680.912621359224
Stem cell,17,44,12,111554.43689320388
Stephen Harper,5,29,25,58186.0
Stephen Hawking,25,95,48,688512.2718446602
Stephen Jay Gould,18,23,41,20667.456310679612
Stephen Trigg,0,0,6,598.9320388349514
Stephen of England,6,29,22,5966.135922330097
Steve Davis,0,1,11,29145.922330097088
Stickleback,0,4,6,4477.077669902913
Still Game,5,15,16,27208.349514563106
Stingray,2,17,23,51784.41747572816
Stock,14,34,116,41437.854368932036
Stock car (rail),3,2,28,1480.5922330097087
Stockholm,10,26,63,109773.95145631068
Stoicism,4,7,28,135799.38834951457
Stone Age,17,37,63,61126.49514563107
Stonehenge,21,77,41,171288.2233009709
Storm of October 1804,0,0,6,57.911764705882355
Stornoway,2,2,13,10075.59223300971
Stourbridge Lion,0,0,5,1028.0776699029127
Strait of Malacca,6,19,24,19964.95145631068
Stratford-upon-Avon,5,27,12,29189.174757281555
String theory,14,52,38,86289.18446601942
Stroke,18,42,59,97184.57281553397
Strontium,4,25,56,25946.64077669903
Struthiomimus,0,0,17,2672.1650485436894
Stuttering,6,19,33,23726.796116504855
Stuttgart,6,14,47,55187.26213592233
Styracosaurus,3,10,14,8263.223300970874
Sub-Saharan Africa,73,144,122,61658.563106796115
Suburbs of Johannesburg,0,3,20,5276.766990291262
Sucre,3,16,11,10953.504854368932
Sudan,49,115,280,150323.82524271845
Sudanic languages,0,0,2,394.07766990291265
Sudoku,8,20,11,58509.05825242718
Suez Canal,17,67,70,137750.0
Suffrage,16,26,48,27682.873786407767
Sugar,55,181,232,87958.25242718446
Sugar beet,7,38,37,26560.466019417476
Sugarcane,16,66,62,54579.1359223301
Suikinkutsu,0,0,0,1166.631067961165
Suleiman the Magnificent,5,17,48,109042.22330097087
Sulfur,17,118,242,88289.07766990291
Sulfuric acid,22,79,88,78270.01941747573
Sultan,4,24,55,31655.601941747573
Sumac,5,29,24,43015.601941747576
Sumatra,6,30,78,35695.077669902916
Sumer,21,29,90,106737.7281553398
Summer,9,70,103,47934.330097087375
"Summer Hill, New South Wales",1,3,8,1331.6796116504854
Sumo,9,50,16,45819.52427184466
Sun,244,896,473,224954.2718446602
Sun Tzu,4,9,11,49538.46601941747
Sun Yat-sen,5,17,47,59831.51456310679
Sundew,6,19,47,2020.6699029126214
Sunflower,23,46,46,8093.300970873786
Sunlight,32,122,47,32635.81553398058
Sunol Water Temple,0,5,1,829.504854368932
Sunset Boulevard (1950 film),2,5,17,862.9417475728155
Super 14,4,10,20,138.35922330097088
Super Bowl XL,6,18,39,49554.038834951454
Super Chief,6,19,20,4228.165048543689
Super Mario 64,11,56,11,33918.81553398058
Super Mario Bros.,20,134,17,70272.35922330097
Superconductivity,8,33,44,36676.0
Superman,81,175,53,180654.2233009709
Supermarine Spitfire,5,24,49,67018.30097087378
Supply and demand,18,41,34,33875.95145631068
Supply chain management,6,10,5,53119.50485436893
Supreme Court of the United States,20,57,91,193771.4077669903
Suriname,3,21,74,147367.68932038834
Surtsey,4,11,23,8139.077669902913
Sustainable forestry,0,0,3,563.4660194174758
Sutton Hoo,2,13,18,50003.436893203885
Svalbard,9,27,42,87145.89320388349
Svartálfar,2,7,4,8075.699029126214
Swallow,4,16,7,28694.59223300971
Swan,4,25,36,41837.611650485436
Swastika,9,88,121,213500.90291262136
Swaziland,14,30,78,41098.1067961165
Sweden,73,304,422,339025.63106796116
Swedish allotment system,0,0,7,381.40776699029124
Swift,9,11,50,11063.85436893204
Swiss Federal Council,4,10,18,5835.446601941748
Swissair Flight 111,0,0,10,27320.95145631068
Switzerland,83,245,294,378559.46601941745
Sydney,26,65,129,142243.39805825244
Sydney Newman,4,9,17,3530.4466019417478
Sydney Riot of 1879,0,0,6,1288.0873786407767
Sylvanus Morley,0,2,20,1073.9320388349515
Symmetry,22,40,74,21819.33009708738
Synthesizer,15,44,22,38277.669902912625
Syria,17,82,220,240555.90291262136
T-34,10,11,57,57828.320388349515
T. D. Judah,0,0,1,177.49514563106797
T. S. Eliot,10,28,61,81114.7281553398
TGV,7,14,49,27355.631067961163
Tacitean studies,0,1,16,629.6796116504854
Tagoi language,0,0,3,175.11650485436894
Taipei,5,19,85,63281.669902912625
Taiwan,18,68,127,431595.58252427186
Taj Mahal,11,27,60,367671.145631068
Tajikistan,6,25,83,111634.6213592233
Talc,2,18,29,31944.52427184466
Tamarind,3,11,31,67503.33009708738
Tamil language,8,35,78,165061.572815534
Tamil people,3,19,85,13233.281553398057
Tank,13,79,50,46822.19417475728
Tansy,3,3,11,9535.621359223302
Tantalum,6,15,55,28867.339805825242
Tanzania,27,121,217,169042.0776699029
Tao Te Ching,4,13,14,35642.25242718447
Taoism,6,59,60,104173.42718446603
Tarragon,6,11,23,25474.368932038837
Tashkent,2,16,43,40564.1359223301
Tasmanian Devil,9,26,15,3399.4563106796118
Tawny Owl,0,14,14,864.9223300970874
Tay-Sachs disease,3,10,13,1542.7087378640776
Tay Rail Bridge,7,14,13,2262.757281553398
TeX,4,26,27,18385.038834951458
Tea,39,70,121,84413.80582524271
Technetium,3,17,70,23671.087378640776
Technology,263,697,144,129248.43689320388
Tehran,9,29,60,65582.04854368932
Tel Aviv,7,20,46,87670.19417475729
Telecommunication,39,178,49,47249.06796116505
Telephone,56,1245,62,61190.7572815534
Telephone exchange,4,28,5,14897.47572815534
Telescope,62,183,174,29762.194174757282
Television,290,582,179,115867.22330097087
Tellurium,2,41,49,21379.242718446603
Temperate,41,138,78,7083.077669902913
Temple of Artemis,9,20,12,59271.601941747576
Templon,0,0,5,838.4854368932039
Tennis,69,212,146,83735.18446601942
Tennis Masters Cup,4,18,27,568.1165048543689
"Tenzin Gyatso, 14th Dalai Lama",1,7,48,1915.368932038835
Tenzing Norgay,3,14,12,38060.68932038835
Terbium,0,10,25,7259.689320388349
Terik,0,6,1,69.9126213592233
Tern,4,15,73,8489.786407766991
Terrorism,40,103,113,84655.22330097087
Textile,17,51,57,40649.1067961165
Thailand,44,89,197,297751.8932038835
Thalassemia,4,11,22,53367.7572815534
Thallium,3,25,61,27058.611650485436
The Absent-Minded Beggar,2,7,4,620.4563106796116
The Adventures of Tintin,10,21,58,90505.03883495145
The Anarchy,4,16,19,19652.631067961163
The Ashes,9,25,20,84053.4854368932
The Bahamas,45,63,89,164745.28155339806
The Beano,4,13,11,9618.349514563106
The Beatles,69,324,135,474187.7572815534
The Beatles discography,7,23,14,101591.18446601942
The Blitz,15,26,42,59478.18446601942
The Broads,6,8,12,7803.631067961165
The Brothers Karamazov,6,18,30,46586.388349514564
The Canadian,3,23,11,1023.7766990291262
The Cantos,0,9,89,6407.805825242718
The Cat in the Hat,18,48,4,31335.077669902912
The Catcher in the Rye,0,0,8,128743.6504854369
The Catlins,0,0,14,1767.1456310679612
"The Championships, Wimbledon",12,46,36,102194.12621359223
The Children's Machine,0,0,31,81.30392156862744
The Count of Monte Cristo,7,11,22,89263.7572815534
The Country Wife,2,7,12,4412.883495145631
The Curious Incident of the Dog in the Night-time,2,9,15,363.70873786407765
The Dandy,0,10,12,4451.223300970873
The Fairy-Queen,6,4,11,3073.1650485436894
The Famous Five (characters),0,0,16,247.93203883495147
The Fens,5,16,21,12394.106796116504
The Frogs,0,0,2,6164.0
The Gambia,3,25,74,83676.92233009709
The Godfather,11,42,29,279874.11650485435
The Great Exhibition,2,4,16,11566.349514563106
The Hague,13,36,65,87704.26213592233
The Hitchhiker's Guide to the Galaxy,7,15,33,93833.5145631068
The Hobbit,7,48,32,83419.59223300971
The Holocaust,52,331,143,316594.32038834953
The Illuminatus! Trilogy,1,4,27,11149.213592233009
The Importance of Being Earnest,0,0,5,41631.398058252424
The Iron Bridge,5,8,7,8170.601941747573
The King's Regiment (Liverpool),0,0,44,80.04854368932038
The Last Supper (Leonardo),12,16,26,62079.04854368932
The Legend of Zelda series,16,47,14,148.1747572815534
"The Lion, the Witch and the Wardrobe",3,11,18,44090.21359223301
The Lion King,83,210,29,188128.96116504853
The Lorax,12,15,8,28031.70873786408
The Lord of the Rings,20,70,76,203042.90291262136
The Lord of the Rings film trilogy,21,78,26,3614.223300970874
The Magic Flute,6,28,12,36687.53398058253
The Marriage of Figaro,13,25,9,31686.747572815533
The Merchant of Venice,4,12,23,58709.11650485437
The Mismeasure of Man,6,7,17,3862.4563106796118
The Old Man and the Sea,10,20,18,62270.77669902913
The Origin of Species,29,82,35,1157.6796116504854
The Oz books,0,0,6,228.8640776699029
The Picture of Dorian Gray,3,5,18,122144.17475728155
The Pilgrim's Progress,4,3,18,31618.55339805825
The Quatermass Experiment,3,5,16,3965.9320388349515
The Relapse,1,2,15,1581.378640776699
The Rime of the Ancient Mariner,4,15,27,37944.34951456311
The Rite of Spring,7,12,20,30181.242718446603
The Rolling Stones,22,62,54,279250.0485436893
The Seagull,3,9,6,17936.135922330097
The Shawshank Redemption,9,22,9,225475.91262135922
The Simpsons,80,100,81,250945.23300970873
The Smiths,6,13,20,86828.55339805825
The Supremes,5,22,18,52743.038834951454
The Temptations,2,20,23,92524.54368932039
The Wall Street Journal,17,42,31,57348.679611650485
The Waste Land,7,16,24,33789.71844660194
The West Wing (TV series),2,2,61,2190.6893203883496
The X-Files,12,27,22,161168.90291262136
Theatre,920,1029,168,38303.70873786408
"Theatre Royal, Drury Lane",2,4,26,7972.883495145631
Theatre in the round,13,18,13,3631.5242718446602
Theodore Roosevelt,35,83,108,352646.8349514563
Therizinosaurus,0,7,17,17608.126213592233
Thermodynamic temperature,9,14,30,10202.563106796117
Thermodynamics,21,93,42,53751.922330097084
Theropoda,16,61,50,26485.543689320388
Theta,0,0,4,27796.33009708738
Thiamine,9,25,30,40444.81553398058
Third Servile War,4,4,7,21804.533980582524
